 ROW_ID, APPLICATION_ID, APPLICATION_SHORT_NAME, LAST_UPDATE_DATE, LAST_UPDATED_BY, CREATION_DATE, CREATED_BY, LAST_UPDATE_LOGIN, BASEPATH, APPLICATION_NAME, DESCRIPTION, PRODUCT_CODE
AAA/cZAGXAAAFzlAAF,679,BIN,29.08.05,120,28.09.04,2,0,BIN_TOP,Communications Intelligence,,BIN
AAA/cZAGXAAAFzlAAG,8726,CUC,29.08.05,120,28.09.04,2,0,CUC_TOP,Revenue Accounting,,CUC
AAA/cZAGXAAAFzlAAH,8725,CUR,29.08.05,120,28.09.04,2,0,CUR_TOP,Mass Market Receivables for Comms,,CUR
AAA/cZAGXAAAFzlAAI,675,IBT,29.08.05,120,28.09.04,2,0,IBT_TOP,iAuction,,IBT
AAA/cZAGXAAAFzlAAJ,536,XNA,29.08.05,120,28.09.04,2,0,XNA_TOP,Service Assurance for Communications,,XNA
AAA/cZAGXAAAFzlAAK,537,XNT,29.08.05,120,28.09.04,2,0,XNT_TOP,TeleBusiness for Telecom/Utilities,,XNT
AAA/cZAGXAAAFzlAAL,425,MQA,29.08.05,120,28.09.04,2,0,MQA_TOP,Mobile Quality Applications,,MQA
AAA/cZAGXAAAFzlAAM,3002,CTB,29.08.05,120,28.09.04,2,0,CTB_TOP,Clinical Transaction Base,,CTB
AAA/cZAGXAAAFzlAAN,547,IET,29.08.05,120,28.09.04,2,0,IET_TOP,Call Center Connectors,,IET
AAA/cZAGXAAAFzlAAO,546,IEV,29.08.05,120,28.09.04,2,0,IEV_TOP,IVR Integrator,,IEV
AAA/cZAGXAAAFzlAAP,548,IEP,29.08.05,120,28.09.04,2,0,IEP_TOP,Predictive,,IEP
AAA/cZAGXAAAFzlAAQ,3003,HCP,29.08.05,120,28.09.04,2,0,HCP_TOP,Healthcare Intelligence,,HCP
AAA/cZAGXAAAFzlAAR,3004,HCA,29.08.05,120,28.09.04,2,0,HCA_TOP,Healthcare,,HCA
AAA/cZAGXAAAFzlAAS,502,PBR,29.08.05,120,28.09.04,2,0,PBR_TOP,Budgeting and Planning,,PBR
AAA/cZAGXAAAFzlAAT,878,IAM,29.08.05,120,28.09.04,2,0,IAM_TOP,Digital Asset Management,,IAM
AAA/cZAGXAAAFzlAAU,877,OKT,29.08.05,120,28.09.04,2,0,OKT_TOP,Royalty Management,,OKT
AAA/cZAGXAAAFzlAAV,747,GNI,29.08.05,120,28.09.04,2,0,GNI_TOP,Genealogy Intelligence,,GNI
AAA/cZAGXAAAFzlAAW,20090,CPGC,29.08.05,120,28.09.04,2,0,CPGC_TOP,CPG - CDOA,,CPGC
AAA/cZAGXAAAFzlAAX,3000,HCC,29.08.05,120,28.09.04,2,0,HCC_TOP,iHCConnect,,HCC
AAA/cZAGXAAAFzlAAY,3001,HCN,29.08.05,120,28.09.04,2,0,HCN_TOP,iHCIntegrate,,HCN
AAA/cZAGXAAAFzlAAZ,203,AME,29.08.05,120,28.09.04,2,0,AME_TOP,Approvals Management,,AME
AAA/cZAGXAAAFzlAAa,876,OKP,09.02.06,120,28.09.04,2,0,OKP_TOP,Contracts for Procurement (Obsolete),,OKP
AAA/cZAGXAAAFzlAAb,3005,HCT,29.08.05,120,28.09.04,2,0,HCT_TOP,Healthcare Terminology Server,,HCT
AAA/cZAGXAAAFzlAAc,403,MIA,29.08.05,120,28.09.04,2,0,MIA_TOP,Mobile Applications for Inventory Management,,MIA
AAA/cZAGXAAAFzlAAd,559,GMW,29.08.05,120,28.09.04,2,0,GMW_TOP,Process Manufacturing Portal,,GMW
AAA/cZAGXAAAFzlAAe,863,BIY,29.08.05,120,28.09.04,2,0,BIY_TOP,Systems Intelligence,,BIY
AAA/cZAGXAAAFzlAAf,507,PFT,08.09.06,120,28.09.04,2,0,PFT_TOP,Oracle Profitability Manager,,PFT
AAA/cZAGXAAAFzlAAg,509,RMG,29.08.05,120,28.09.04,2,0,RMG_TOP,Risk Manager,,RMG
AAA/cZAGXAAAFzlAAh,508,FTP,29.08.05,120,28.09.04,2,0,FTP_TOP,Transfer Pricing,,FTP
AAA/cZAGXAAAFzlAAi,429,DNA,28.11.05,120,28.09.04,2,0,DNA_TOP,Development,,DNA
AAA/cZAGXAAAFzlAAj,436,BLC,29.08.05,120,29.09.04,2,0,BLC_TOP,Utility Billing,,BLC
AAA/cZAGXAAAFzlAAk,41,PTX,29.08.05,120,28.09.04,2,0,PTX_TOP,Patch Tracking System,,PTX
AAA/cZAGXAAAFzlAAl,40,EMS,29.08.05,120,28.09.04,2,0,EMS_TOP,Environment Management System,,EMS
AAA/cZAGXAAAFzlAAm,437,RCM,28.11.05,120,28.09.04,2,0,RCM_TOP,Regulatory Capital Manager (obsolete),,RCM
AAA/cZAGXAAAFzcACF,710,RLA,16.03.06,120,12.08.97,1,0,RLA_TOP,Release Management Integration Kit (Obsolete),,RLA
AAA/cZAGXAAAFzcACP,385,WMS,29.08.05,120,27.07.99,1,0,WMS_TOP,Warehouse Management,,WMS
AAA/cZAGXAAAFzcACZ,185,XTR,29.08.05,120,01.07.98,1,0,XTR_TOP,Treasury,,XTR
AAA/cZAGXAAAFzcACi,455,ENI,29.08.05,120,01.01.80,1,0,ENI_TOP,Product Intelligence,,ENI
AAA/cZAGXAAAFzcAB0,801,PAY,29.08.05,120,12.08.97,1,0,PAY_TOP,Payroll,,PER
AAA/cZAGXAAAFzcABa,7000,JA,29.08.05,120,12.08.97,1,0,JA_TOP,Asia/Pacific Localizations,,JA
AAA/cZAGXAAAFzcAA0,450,FII,29.08.05,120,30.06.99,1,0,FII_TOP,Financial Intelligence,,FII
AAA/cZAGXAAAFzcABQ,519,IES,29.08.05,120,12.05.99,1,0,IES_TOP,Scripting,,IES
AAA/cZAGXAAAFzcAA5,8901,FV,29.08.05,120,06.12.99,1,0,FV_TOP,Federal Financials,,FV
AAA/cZAGXAAAFznAAE,20114,OUC,29.08.05,120,29.08.05,120,0,OUC_TOP,University Curriculum,,OUC
AAA/cZAGXAAAFznAAF,20159,TEST,29.08.05,120,29.08.05,120,0,TST_TOP,test,,TEST
AAA/cZAGXAAAFznAAG,20139,PSR,29.08.05,120,29.08.05,120,0,PSR_TOP,Public Sector Receivables,,PSR
AAA/cZAGXAAAFznAAH,3006,CDR,29.08.05,120,29.08.05,120,0,CDR_TOP,Oracle Clinical Data Repository,Oracle Clinical Data Repository,CDR
AAA/cZAGXAAAFznAAI,1776,DUMMY_GMO,05.10.05,120,05.10.05,120,0,DUMMY_GMO_TOP,Obsolete Process Operations,Obsolete Process Operations,GMO
AAA/cZAGXAAAFznAAJ,13016,CLJ,14.10.05,120,14.10.05,120,0,CLJ_TOP,Japan Consulting Localizations,Japan Consulting Localizations,CLJ
AAA/cZAGXAAAFznAAK,20160,OKC_REP_TXT_INDEX_SYNC,29.08.05,120,29.08.05,120,0,OKC_TOP,Build/syncronize Contracts Repository Text index,,OKC_REP_TXT_INDEX_SYNC
AAA/cZAGXAAAFznAAL,20161,OKC_REP_TXT_INDEX_OPTIMIZE,29.08.05,120,29.08.05,120,0,OKC_TOP,Optimize Contracts Repository Text index,,OKC_REP_TXT_INDEX_OPTIMIZE
AAA/cZAGXAAAFznAAM,20200,DEM01,29.08.05,120,29.08.05,120,0,DEM_TOP,Team 01 Order Entry Demo,Practice Application,DEM01
AAA/cZAGXAAAFznAAN,719,RRC,29.08.05,120,29.08.05,120,0,RRC_TOP,Retail Core,Retail Core,RRC
AAA/cZAGXAAAFznAAO,13015,CLL,06.10.05,120,06.10.05,120,0,CLL_TOP,LAD Consulting Localizations,LAD Consulting Localizations,CLL
AAA/cZAGXAAAFznAAP,20180,CSN,29.08.05,120,29.08.05,120,0,CSN_TOP,Call Center,,CSN
AAA/cZAGXAAAFznAAQ,718,RRS,29.08.05,120,29.08.05,120,0,RRS_TOP,Site Management,Site Management,RRS
AAA/cZAGXAAAFznAAR,13017,CLA,17.08.06,120,17.08.06,120,0,CLA_TOP,APAC Consulting Localizations,APAC Consulting Localizations,CLA
AAA/cZAGXAAAFznAAS,13014,CLE,29.08.05,120,29.08.05,120,0,CLE_TOP,EMEA Consulting Localizations,EMEA Consulting Localizations,CLE
