ROW_ID, MENU_ID, MENU_NAME, TYPE, LAST_UPDATE_DATE, LAST_UPDATED_BY, LAST_UPDATE_LOGIN, CREATION_DATE, CREATED_BY, USER_MENU_NAME, DESCRIPTION
AAA/JXAGXAAAUfjABP,78323,HRI_P_MANAGEMENT_TRENDS_PORTLE,,21.10.05,120,0,06.01.04,2,HR Management Trends Portlets,
AAA/JXAGXAAAUfjABQ,78326,HRI_DBI_MANAGEMENT_KPIS,STANDARD,21.10.05,120,0,06.01.04,2,HR Management KPIS,HR Management KPIS Menu (DBI 6.0)
AAA/JXAGXAAAUfjABR,78327,HRI_DBI_OAP_LINE_MGR_PARAMS,STANDARD,21.10.05,120,0,06.01.04,2,HR DBI Line Manager Parameter Portlet (OA),Menu for HR Line Manager Parameters Rack in OAF
AAA/JXAGXAAAUfjABS,78328,HRI_DBI_OAR_LINE_MGR_KPI,STANDARD,21.10.05,120,0,06.01.04,2,HR DBI Line Manager KPI Rack (OA),Menu for HR Line Manager KPI Rack in OAF
AAA/JXAGXAAAUfjABT,78329,HRI_DBI_OAR_LINE_MGR_HEAD,STANDARD,21.10.05,120,0,06.01.04,2,HR DBI Line Manager Headcount Rack (OA),Menu for HR Line Manager Headcount Rack in OAF
AAA/JXAGXAAAUfjABW,78333,HRI_DBI_OAR_LINE_MGR_TURNOVER,STANDARD,21.10.05,120,0,06.01.04,2,HR DBI Line Manager Turnover Rack (OA),Menu for HR Line Manager Turnover Rack in OAF
AAA/JXAGXAAAUfhABI,78095,QP_SSA_PRICING_NAV,STANDARD,17.02.04,2,0,17.02.04,2,QP_SSA_PRICING_NAV,Presentation Menu
AAA/JXAGXAAAUfhABJ,78096,QP_HOMEPAGE_HOME_TAB,TAB,22.10.03,2,0,22.10.03,2,QP_HOMEPAGE_HOME_TAB,Homepage Home Tab Menu
AAA/JXAGXAAAUfhABK,78097,QP_HOMEPAGE_PRICELISTS_SUBTAB,SUBTAB,26.01.04,2,0,26.01.04,2,QP_HOMEPAGE_PRICELISTS_SUBTAB,Homepage Price Lists subtab menu
AAA/JXAGXAAAUfhABL,78098,QP_HOMEPAGE_MODLISTS_SUBTAB,SUBTAB,26.01.04,2,0,26.01.04,2,QP_HOMEPAGE_MODLISTS_SUBTAB,Homepage Modifier Lists subtab menu
